number,value,datetime_start,datetime_complete,duration,params_BollingerBands_period,params_BollingerBands_std_dev,params_MACD_fast_period,params_MACD_signal_period,params_MACD_slow_period,params_RSI_period,params_SMA_long_period,params_SMA_short_period,params_position_size,params_stop_loss,params_take_profit,user_attrs_cagr,user_attrs_max_drawdown,user_attrs_total_return,state
0,0.0,2025-11-06 17:41:29.185606,2025-11-06 17:41:29.198995,0 days 00:00:00.013389,22,1.7340279606636548,9,12,20,17,192,22,0.1185260448662222,0.010502105436744277,0.01595857358814127,0.0,0.0,0.0,COMPLETE
1,0.0,2025-11-06 17:41:29.202738,2025-11-06 17:41:29.208810,0 days 00:00:00.006072,13,1.7751067647801508,10,9,25,10,170,49,0.22554447458683766,0.003124565071260871,0.010952662748632562,0.0,0.0,0.0,COMPLETE
2,0.0,2025-11-06 17:41:29.212735,2025-11-06 17:41:29.217846,0 days 00:00:00.005111,26,1.7995106732375397,12,7,26,13,86,18,0.1585464336867516,0.010769622478263132,0.001948567125127258,0.0,0.0,0.0,COMPLETE
3,0.0,2025-11-06 17:41:29.220281,2025-11-06 17:41:29.226128,0 days 00:00:00.005847,16,1.6465081710095757,14,7,24,19,194,48,0.9183883618709039,0.0069389014127393955,0.0011439974749291274,0.0,0.0,0.0,COMPLETE
4,0.0,2025-11-06 17:41:29.229209,2025-11-06 17:41:29.233389,0 days 00:00:00.004180,20,2.3200654190149193,9,11,30,11,139,16,0.6381099809299766,0.03946212980759095,0.03313483615508949,0.0,0.0,0.0,COMPLETE
5,-inf,2025-11-06 17:41:29.235793,2025-11-06 17:41:29.236630,0 days 00:00:00.000837,10,1.9879954961448965,11,11,22,9,36,47,0.5884264748424236,0.004037506188440755,0.0030012301808980462,,,,COMPLETE
6,0.0,2025-11-06 17:41:29.239039,2025-11-06 17:41:29.242698,0 days 00:00:00.003659,30,2.6583671539449862,9,11,20,8,165,11,0.7941433120173511,0.01588288621197004,0.017320535358459548,0.0,0.0,0.0,COMPLETE
7,0.0,2025-11-06 17:41:29.244827,2025-11-06 17:41:29.248656,0 days 00:00:00.003829,28,2.4349471902413367,10,8,20,8,84,8,0.6738017242196918,0.003568426123255422,0.01736117089039329,0.0,0.0,0.0,COMPLETE
8,0.0,2025-11-06 17:41:29.251012,2025-11-06 17:41:29.255172,0 days 00:00:00.004160,24,2.641177572925346,13,9,28,8,105,45,0.12287721406968567,0.0077287168618517844,0.005325732706437205,0.0,0.0,0.0,COMPLETE
9,0.0,2025-11-06 17:41:29.257228,2025-11-06 17:41:29.260667,0 days 00:00:00.003439,16,2.262856036747054,16,9,22,16,25,9,0.1692819188459137,0.019215811115723028,0.0024474916579073796,0.0,0.0,0.0,COMPLETE
10,0.0,2025-11-06 17:41:29.262979,2025-11-06 17:41:29.274009,0 days 00:00:00.011030,22,1.5230516059921564,8,12,23,21,143,30,0.35268485881573375,0.0014613257873284599,0.048528224494085545,0.0,0.0,0.0,COMPLETE
11,0.0,2025-11-06 17:41:29.276358,2025-11-06 17:41:29.287391,0 days 00:00:00.011033,10,1.9600051395039788,10,10,26,15,192,32,0.3549516648714971,0.001493239684269974,0.010156910995341944,0.0,0.0,0.0,COMPLETE
12,0.0,2025-11-06 17:41:29.290200,2025-11-06 17:41:29.300604,0 days 00:00:00.010404,17,2.0056629899946943,8,10,28,17,162,36,0.3613660152525639,0.0029629666601044143,0.008299965366831903,0.0,0.0,0.0,COMPLETE
13,0.0,2025-11-06 17:41:29.302937,2025-11-06 17:41:29.313686,0 days 00:00:00.010749,13,2.948006919098183,11,12,25,12,200,22,0.26746690877197943,0.0024676734116298644,0.017364348587507444,0.0,0.0,0.0,COMPLETE
14,0.0,2025-11-06 17:41:29.316320,2025-11-06 17:41:29.326394,0 days 00:00:00.010074,19,1.7638576351618465,10,8,21,18,170,39,0.49299868329244106,0.005663807998386166,0.00511241463665301,0.0,0.0,0.0,COMPLETE
15,0.0,2025-11-06 17:41:29.328547,2025-11-06 17:41:29.338872,0 days 00:00:00.010325,23,1.5317887054366581,12,9,28,11,132,24,0.2557948355260486,0.03661777161637735,0.010829336588126017,0.0,0.0,0.0,COMPLETE
16,0.0,2025-11-06 17:41:29.341252,2025-11-06 17:41:29.351544,0 days 00:00:00.010292,13,2.10630154221727,9,8,30,14,174,40,0.4808897649524926,0.016434313900487673,0.026414008222462662,0.0,0.0,0.0,COMPLETE
17,0.0,2025-11-06 17:41:29.353860,2025-11-06 17:41:29.365442,0 days 00:00:00.011582,13,1.8085231157492918,14,10,24,21,122,26,0.2742860257180693,0.010508720401950528,0.005731756136786269,0.0,0.0,0.0,COMPLETE
18,0.0,2025-11-06 17:41:29.368192,2025-11-06 17:41:29.378263,0 days 00:00:00.010071,18,1.7052973727420278,11,12,26,19,156,19,0.1161956293648935,0.001995468055336585,0.0130807819693539,0.0,0.0,0.0,COMPLETE
